频段,频率范围,平均功率,标准差
Delta,1-4 Hz,1.51e-11,1.36e-11
Theta,4-8 Hz,3.66e-12,2.94e-12
Alpha,8-13 Hz,2.41e-12,2.43e-12
Beta,13-30 Hz,4.73e-13,7.30e-13
Gamma,30-40 Hz,2.44e-13,4.70e-13
