subject_id,group,n_epochs,n_channels
018,adhd,19,60
029,adhd,22,60
031,adhd,19,60
037,adhd,25,60
038,adhd,30,60
045,adhd,19,60
075,adhd,26,60
091,adhd,23,60
094,adhd,30,60
117,adhd,28,60
132,adhd,17,60
134,adhd,19,60
