channel,band,comparison,beta,p,p_fdr,significant
AF3,Delta,ADHD vs TD,0.004092278518671731,0.9775741855692706,0.9999999352048242,False
AF3,Delta,COM vs TD,-0.05379172986781826,0.7035974098900679,0.9999999352048242,False
AF3,Theta,ADHD vs TD,0.03906492775995617,0.7885652004105578,0.9999999352048242,False
AF3,Theta,COM vs TD,0.010916752883387244,0.9384874677061631,0.9999999352048242,False
AF3,Alpha,ADHD vs TD,-0.017180385396997327,0.921378833563158,0.9999999352048242,False
AF3,Alpha,COM vs TD,-0.04723975745255924,0.7798890872188844,0.9999999352048242,False
AF3,Beta,ADHD vs TD,-0.024735930848311057,0.8462257653922695,0.9999999352048242,False
AF3,Beta,COM vs TD,-0.04872412253966207,0.6940333892646857,0.9999999352048242,False
AF3,Gamma,ADHD vs TD,0.0673665902025219,0.5768150590289203,0.9999999352048242,False
AF3,Gamma,COM vs TD,-0.03937434053280346,0.7370125789096948,0.9999999352048242,False
AF4,Delta,ADHD vs TD,0.05510298504364149,0.7765864385417447,0.9999999352048242,False
AF4,Delta,COM vs TD,-0.038984498203577626,0.8362209726543309,0.9999999352048242,False
AF4,Theta,ADHD vs TD,0.043784801351648035,0.7517483864436566,0.9999999352048242,False
AF4,Theta,COM vs TD,-0.038703795983673725,0.7733895286297883,0.9999999352048242,False
AF4,Alpha,ADHD vs TD,-0.07154361718620832,0.62838711916089,0.9999999352048242,False
AF4,Alpha,COM vs TD,-0.07777983207782974,0.5879185342244182,0.9999999352048242,False
AF4,Beta,ADHD vs TD,-0.09232829978800183,0.5490442765679513,0.9999999352048242,False
AF4,Beta,COM vs TD,-0.17618982920747547,0.23900337075590494,0.9999999352048242,False
AF4,Gamma,ADHD vs TD,-0.05792690405287956,0.7395692225598614,0.9999999352048242,False
AF4,Gamma,COM vs TD,-0.21460784228415278,0.20475617026611292,0.9999999352048242,False
AF7,Delta,ADHD vs TD,0.10576750806834274,0.514116070991594,0.9999999352048242,False
AF7,Delta,COM vs TD,0.030007419222467278,0.8488339559400022,0.9999999352048242,False
AF7,Theta,ADHD vs TD,0.09717506855647591,0.49679954032475526,0.9999999352048242,False
AF7,Theta,COM vs TD,0.024774063522571204,0.8584111037109687,0.9999999352048242,False
AF7,Alpha,ADHD vs TD,0.021674312478585228,0.8996623316025947,0.9999999352048242,False
AF7,Alpha,COM vs TD,-0.04601151646759639,0.7828242615193676,0.9999999352048242,False
AF7,Beta,ADHD vs TD,0.06589912069392734,0.6417043595541703,0.9999999352048242,False
AF7,Beta,COM vs TD,-0.013587050161070823,0.9212995686135936,0.9999999352048242,False
AF7,Gamma,ADHD vs TD,0.15148070207416697,0.2835781654064006,0.9999999352048242,False
AF7,Gamma,COM vs TD,-0.02685139706677227,0.8448362664144113,0.9999999352048242,False
AFz,Delta,ADHD vs TD,0.13133704092934534,0.3373722918055807,0.9999999352048242,False
AFz,Delta,COM vs TD,-0.025814032369004678,0.8460541764138132,0.9999999352048242,False
AFz,Theta,ADHD vs TD,0.1972551825657411,0.12513595521622448,0.9999999352048242,False
AFz,Theta,COM vs TD,0.051203977974642025,0.681863238151441,0.9999999352048242,False
AFz,Alpha,ADHD vs TD,0.08241212006964214,0.5930654468671599,0.9999999352048242,False
AFz,Alpha,COM vs TD,-0.024399515586113852,0.8705765955524157,0.9999999352048242,False
AFz,Beta,ADHD vs TD,0.11566798918839584,0.3609424916738816,0.9999999352048242,False
AFz,Beta,COM vs TD,-0.025300990993531797,0.8369578734201485,0.9999999352048242,False
AFz,Gamma,ADHD vs TD,0.18075548342753583,0.07761675365153088,0.9999999352048242,False
AFz,Gamma,COM vs TD,-0.015065402697247477,0.8796372092132414,0.9999999352048242,False
C1,Delta,ADHD vs TD,-1.3964551172098318,0.9999990798654371,0.9999999352048242,False
C1,Delta,COM vs TD,-1.6357239001582151,0.9999988730300551,0.9999999352048242,False
C1,Theta,ADHD vs TD,0.052990049885851875,0.6550218420043219,0.9999999352048242,False
C1,Theta,COM vs TD,-0.0018397401944850026,0.9872554481953361,0.9999999352048242,False
C1,Alpha,ADHD vs TD,-0.01211056572573223,0.936805352947346,0.9999999352048242,False
C1,Alpha,COM vs TD,0.007703965829231878,0.9585782775039827,0.9999999352048242,False
C1,Beta,ADHD vs TD,0.09630793913249301,0.4283922090031589,0.9999999352048242,False
C1,Beta,COM vs TD,0.0816947471787558,0.4890747296226702,0.9999999352048242,False
C1,Gamma,ADHD vs TD,0.20066535543703473,0.1292834111034569,0.9999999352048242,False
C1,Gamma,COM vs TD,0.029277595615462806,0.8197385885635163,0.9999999352048242,False
