subject_id,group,freq_band,clustering,path_length,sigma,avg_connectivity
006,td,delta,0.41309525777393297,0.23919462269220432,0.3194519108717407,0.24764925114040312
068,td,delta,0.4405744449938035,0.2710369914678755,0.30067507488990725,0.2827175754088195
079,td,delta,0.44321739550760186,0.27941420058666805,0.29341007066392266,0.2852340799717977
093,td,delta,0.4848057985603295,0.2640861865567244,0.3395696079654413,0.27612242725861696
108,td,delta,0.44964254942179765,0.29078072607707534,0.2860279529107622,0.31117310083133026
109,td,delta,0.3896068068711024,0.2571643052078732,0.2802351068186748,0.26898230176777466
127,td,delta,0.48326467415090263,0.25644734447921635,0.34857283352086077,0.2648033228996163
133,td,delta,0.37782871818605185,0.24125027860193807,0.28969022050474363,0.26885530950474745
006,td,theta,0.3880363890704963,0.24349253763790252,0.2947769301110477,0.2530920961976736
068,td,theta,0.5232546128279143,0.30095315217607604,0.32160357080234947,0.3058786777336087
079,td,theta,0.45028246990597975,0.24881474446497137,0.3347461725694078,0.2690332986412545
093,td,theta,0.48782158416756943,0.22967991698830667,0.3928662149333981,0.23301894039345292
108,td,theta,0.4979423269225878,0.2596633745486622,0.35471131360915037,0.264168522768506
109,td,theta,0.38313362191133493,0.25436377436703256,0.27861320589476424,0.26602841483107825
127,td,theta,0.46065969012346875,0.24804490950788774,0.34352360559297784,0.2528649614315685
133,td,theta,0.5180768366569393,0.2339428976246742,0.4096292907290512,0.23849302326033459
006,td,alpha,0.389082947421463,0.29958249062674386,0.24023288845377752,0.31583966697865784
068,td,alpha,0.37801085807087575,0.2373772055566205,0.2945587680763,0.2403922084060609
079,td,alpha,0.4603515533951121,0.3269461580253909,0.2604474247948019,0.33902817049492634
093,td,alpha,0.49906472895181286,0.34248399528501244,0.26954004051662317,0.37004374253215605
108,td,alpha,0.5663265161247215,0.2956549245640925,0.35431412985202765,0.300173970860486
109,td,alpha,0.5134208021074054,0.25401644757725006,0.37386801807055503,0.2597965519077271
127,td,alpha,0.560097364469318,0.2787490737267922,0.37166938511926245,0.27916920786139643
133,td,alpha,0.46879541393622504,0.33656441060339803,0.25764508208243886,0.35499844680954556
006,td,beta,0.5528560323382313,0.2543952170002416,0.401984959437059,0.2544870143848697
068,td,beta,0.6690948615110704,0.2533937426688685,0.4884256930692042,0.25339856939881783
079,td,beta,0.43638369612495476,0.29243733814506506,0.2760211666856388,0.29641956988204593
093,td,beta,0.5264856950749444,0.27102412556521116,0.3593232480337806,0.27139357180204715
108,td,beta,0.5286202673052023,0.2451704901233561,0.39882493923287643,0.2458535882576596
109,td,beta,0.5463820681766511,0.25642487090974525,0.3941331688986552,0.25659823400331183
127,td,beta,0.7458931231077731,0.27424083020455975,0.5030963669425966,0.2742408302045594
133,td,beta,0.4724133225203039,0.2656934692985481,0.3288879410278444,0.2661311206956256
006,td,gamma,0.40438580114436967,0.2598827531274003,0.2878227592194282,0.26114975275486413
068,td,gamma,0.40599618629215983,0.24034505412423204,0.31245930145893913,0.24106362337612966
079,td,gamma,0.30624821119536116,0.2386671822932356,0.23734907732979846,0.24023119368059792
093,td,gamma,0.3348513059759975,0.25159483881369843,0.24618237791054692,0.2542528527466032
108,td,gamma,0.5767024529455469,0.2198269399822892,0.48526344507095515,0.2198366905185799
109,td,gamma,0.4019938189195939,0.2834439931779926,0.2623365547285497,0.2863617282999477
127,td,gamma,0.5388317155392217,0.27292368250205196,0.36518978478259684,0.2732695039366679
133,td,gamma,0.41620086680806967,0.31171227924291217,0.24697657441418053,0.3189113083257769
