频段,频率范围,平均功率,标准差
Delta,1-4 Hz,1.38e-11,1.43e-11
Theta,4-8 Hz,3.20e-12,2.53e-12
Alpha,8-13 Hz,2.57e-12,3.02e-12
Beta,13-30 Hz,4.01e-13,3.31e-13
Gamma,30-40 Hz,1.59e-13,1.93e-13
