subject_id,group,n_epochs,n_channels
001,com,24,60
020,com,22,60
021,com,24,60
022,com,18,60
024,com,22,60
047,com,19,60
049,com,20,60
051,com,27,60
072,com,27,60
073,com,26,60
076,com,17,60
092,com,15,60
113,com,29,60
150,com,21,60
