频段,频率范围,平均功率,标准差
Delta,1-4 Hz,1.61e-11,2.11e-11
Theta,4-8 Hz,2.79e-12,2.21e-12
Alpha,8-13 Hz,2.31e-12,2.71e-12
Beta,13-30 Hz,4.03e-13,3.96e-13
Gamma,30-40 Hz,1.86e-13,2.80e-13
