pair,freq_band,ch1,ch2,t_value,component_p
com_vs_td,gamma,F4,POz,3.059378255079373,0.032322559146951015
adhd_vs_td,gamma,P5,PO7,3.0451170796816793,0.03365544818393869
com_vs_td,gamma,POz,F2,3.0430108283635544,0.032322559146951015
com_vs_td,gamma,CP5,FT8,3.0423667644801995,0.032322559146951015
adhd_vs_td,gamma,CP5,TP8,3.0340064261306035,0.03365544818393869
com_vs_td,gamma,AF3,FC4,3.027891038711882,0.032322559146951015
adhd_vs_td,gamma,F3,P5,3.0267384968155,0.03365544818393869
com_vs_td,gamma,CP5,P4,3.02268180625432,0.032322559146951015
com_vs_td,gamma,FC5,C4,3.0223844352494513,0.032322559146951015
com_vs_td,gamma,CP3,PO8,3.020092183636124,0.032322559146951015
com_vs_td,gamma,FC5,F6,3.0141581906244426,0.032322559146951015
adhd_vs_td,gamma,P4,C4,3.012170360660967,0.03365544818393869
adhd_vs_td,gamma,CP5,FC6,3.0090034198724855,0.03365544818393869
adhd_vs_td,gamma,P3,FC6,3.0073452123414883,0.03365544818393869
com_vs_td,gamma,Fp1,CP6,3.001612202907789,0.032322559146951015
adhd_vs_td,gamma,T7,CP6,3.0014961627633783,0.03365544818393869
