subject_id,group,freq_band,clustering,path_length,sigma,avg_connectivity
001,com,delta,0.3673701752257138,0.23483395317448988,0.28402084431036934,0.24220361711793129
020,com,delta,0.39841230881948414,0.25317415472516575,0.2857068062128923,0.2660245024342054
021,com,delta,0.34376422575255217,0.2463783949588368,0.2533175420493137,0.27583926037026946
022,com,delta,0.42684774290644184,0.2861389278701401,0.2708340421039684,0.2957638190244599
024,com,delta,0.48282748208938087,0.26596175609547945,0.3295945316668536,0.2739075528737288
047,com,delta,0.46082938905303333,0.27853992170987224,0.3003723322631839,0.29632291632104796
049,com,delta,0.4151710808779976,0.254570499628525,0.2960916959537374,0.26735726989816944
051,com,delta,0.4874851671944055,0.25577655514743824,0.34602532061964986,0.2645728597052839
072,com,delta,0.5372414043812672,0.39687611097034436,0.24576595698648818,0.40613745740461793
073,com,delta,0.42933548647905495,0.22887519067174883,0.3405691261145932,0.24396394680218506
076,com,delta,0.4927645128487781,0.29665852592297104,0.30157115357940806,0.30268580991755517
092,com,delta,0.5106007451412319,0.3174226106134601,0.29204568431604333,0.32453170391036995
113,com,delta,0.29108127961816077,0.2312759148238123,0.22850256299892902,0.24904280830246756
150,com,delta,0.4865626908737633,0.25040409349151643,0.35278051356799645,0.2592350919162048
001,com,theta,0.5332214594609572,0.26934452146623533,0.3594236752298406,0.2758549882300704
020,com,theta,0.46049545696934047,0.23325309826109786,0.358430647381176,0.2433635213552564
021,com,theta,0.4046056816389793,0.24948127840966988,0.2944429931891156,0.2689723448997544
022,com,theta,0.5632687563653094,0.2672090465489452,0.3827116764243415,0.26852691373861787
024,com,theta,0.3475840031997239,0.2670393970813437,0.23631519619440886,0.2872437732745805
047,com,theta,0.4597440198857107,0.26404386063830504,0.31611654203182393,0.2706947316831214
049,com,theta,0.4177980810978472,0.2926651814401919,0.2591806600346951,0.3017773733911938
051,com,theta,0.44915107964308415,0.26490999944271815,0.3078231683617882,0.2797117992767986
072,com,theta,0.44838592304593955,0.22176739517862723,0.367080641450579,0.22500396139753032
073,com,theta,0.42035592025217083,0.2747328366587415,0.27778820775442736,0.29894769957168255
076,com,theta,0.5197355288864387,0.31196317490598224,0.30247276904831694,0.3180909848581586
092,com,theta,0.5462473640051582,0.3010660873779386,0.3294084408283617,0.30991550700805237
113,com,theta,0.42938065536221637,0.29907370484119605,0.26065823585315545,0.31879663924882246
150,com,theta,0.509184986360562,0.24981419231406715,0.37005450005735013,0.257327937143295
001,com,alpha,0.5084409168063234,0.3766085883633719,0.2451079971654042,0.4056850021379669
020,com,alpha,0.3955333740173182,0.24984926075254246,0.28741688147768324,0.2546884178163524
