subject_id,group,freq_band,clustering,path_length,sigma,avg_connectivity
018,adhd,delta,0.5520989440452968,0.2129579004920714,0.47068501028119747,0.21426913374195464
029,adhd,delta,0.41787862860268,0.20427787994764462,0.37139497767771157,0.21039316069387135
031,adhd,delta,0.39903809339489943,0.1853308777685047,0.39090730098448007,0.18801377418395634
037,adhd,delta,0.44555014578020596,0.17861490796427826,0.4528830781715738,0.18216584654638243
038,adhd,delta,0.3901142716605874,0.1803158981835848,0.39279416418233226,0.18731425794301687
045,adhd,delta,0.37429336769390825,0.1915657103392707,0.35473297820259203,0.19489127411201596
075,adhd,delta,0.5216439793337281,0.17075184702303361,0.55464614248323,0.17422439051744684
091,adhd,delta,0.4731520943011972,0.2215909541128832,0.38766442350911623,0.22678267208659206
094,adhd,delta,0.3547219425098221,0.17222404471174285,0.3739396156329523,0.18006074965068952
117,adhd,delta,0.41498695281762,0.16640761279908503,0.4527604261302992,0.1723723606446406
132,adhd,delta,0.41774684014345115,0.21394847714919804,0.3544958715084864,0.21694272022641747
134,adhd,delta,0.4533993356763382,0.19226784840723998,0.42813567831785987,0.195052420553845
018,adhd,theta,0.4764485911338242,0.2369487173908318,0.36506390298084435,0.24200372779820573
029,adhd,theta,0.42147300893551987,0.19136632968794912,0.39986320998879976,0.19513072018239438
031,adhd,theta,0.5928302288052822,0.1879383245215146,0.5726934255176591,0.18796225785629844
037,adhd,theta,0.4939816123941157,0.20613366404850472,0.4350799482064014,0.2104726470993524
038,adhd,theta,0.5048969448302719,0.1724358091038525,0.5315969632053155,0.1742740342657664
045,adhd,theta,0.4639186174700756,0.2014606586743845,0.4180793909470458,0.20503325283029813
075,adhd,theta,0.5435353910285607,0.1795984778622236,0.5494553210635131,0.18102203707825867
091,adhd,theta,0.5821362886748123,0.18876467099232633,0.5599008993471921,0.18928410949547964
094,adhd,theta,0.4702788239168181,0.1781084929493356,0.4793778930525606,0.18219925589086403
117,adhd,theta,0.4507306260873932,0.1567068249374988,0.5221993954773883,0.15899131872674657
132,adhd,theta,0.5276498790053707,0.21696212176478777,0.4415390625925562,0.21878105520835864
134,adhd,theta,0.4031182666584113,0.21392122306593356,0.3421257896221803,0.2165038474648796
018,adhd,alpha,0.5232518285438525,0.23578795776413464,0.40289914108061375,0.23715869934057468
029,adhd,alpha,0.5026194486369769,0.18859683575535938,0.4838515038626221,0.18953946242081832
031,adhd,alpha,0.5862739027550012,0.1969395905849701,0.5404739165016885,0.1970427897593768
037,adhd,alpha,0.40032640248750917,0.20674554115431362,0.35154853269019015,0.212931871053506
038,adhd,alpha,0.32238595740435494,0.18614526790000402,0.3144353201492856,0.19148849747055133
045,adhd,alpha,0.3767252599770971,0.2009742701719398,0.3403231471983486,0.20305049762991723
075,adhd,alpha,0.5358721484209558,0.1999497234791369,0.4865725285079754,0.20444819387989868
091,adhd,alpha,0.4852166904511773,0.21836230439117452,0.4034272875369457,0.22491944456485619
094,adhd,alpha,0.5085690890879168,0.20832613271297348,0.44321394474752707,0.2159070935342121
117,adhd,alpha,0.45456826522446914,0.17626723005586425,0.4682035916878708,0.17853977749291805
132,adhd,alpha,0.5312832722082155,0.20074808254973608,0.4804873342340244,0.20112342710430794
134,adhd,alpha,0.6011041934678317,0.22060135383323748,0.49470783897905085,0.22194935660853687
018,adhd,beta,0.4744346344889149,0.2313688870804227,0.37228765549376425,0.2326375955748229
029,adhd,beta,0.6498939452890432,0.18109672400483792,0.6515370311132144,0.18109672400484186
031,adhd,beta,0.4415202562940367,0.18656361887968947,0.429665895831119,0.1866135255871866
037,adhd,beta,0.25649752175061186,0.17130881818482147,0.27183831034680395,0.17319721148445485
038,adhd,beta,0.2593771409196756,0.15208665102807295,0.3096334057700907,0.1528018413894118
045,adhd,beta,0.6466286017305726,0.2591575330436314,0.45300008241036516,0.25924778245544494
075,adhd,beta,0.6756739263177935,0.1719501564283007,0.7134142711096573,0.1719501564283007
091,adhd,beta,0.6697670853779402,0.17306666321908973,0.7026152768603114,0.17306666321908915
094,adhd,beta,0.5770804450240106,0.1536947830971026,0.6816861013413106,0.1537187916432636
117,adhd,beta,0.5325243303379475,0.1646732178846362,0.5871156953489649,0.16468525362370154
132,adhd,beta,0.6786676764391969,0.2030003556581727,0.606970486136177,0.20300035565817165
134,adhd,beta,0.691625935772025,0.19588608750541228,0.6410248807452098,0.19588608750541261
018,adhd,gamma,0.48264420005493175,0.21886048604506061,0.40037498925623,0.21970646675055605
029,adhd,gamma,0.5728239775879304,0.18341071507532444,0.567026938900994,0.1834215995401315
031,adhd,gamma,0.4911532151823855,0.21800111458351754,0.4090397224893914,0.21810036371656524
037,adhd,gamma,0.20993696395671982,0.18401870767388717,0.2071257736617571,0.18973532382983482
038,adhd,gamma,0.2594190842331743,0.1688240356194106,0.27898114482234243,0.1711203402302289
045,adhd,gamma,0.28866744226491964,0.20766522322193448,0.2523720402414463,0.2097827349831535
075,adhd,gamma,0.328306506158045,0.18412495574915572,0.3237233616854686,0.18460790154582923
091,adhd,gamma,0.5476687707028408,0.20939320439679107,0.4748567347783697,0.20954514324384546
094,adhd,gamma,0.35217527778061447,0.1587580598895002,0.4027451235101892,0.15944101470423147
117,adhd,gamma,0.4132175509993093,0.18602376409088836,0.40329007987733534,0.18653822512280255
132,adhd,gamma,0.5952809241665055,0.19947156323523912,0.5418114545701228,0.19947970657563713
134,adhd,gamma,0.3851112896918976,0.21952234385492334,0.31850387983676126,0.22416480082235016
