subject_id,group,Delta,Theta,Alpha,Beta,Gamma
006,td,6.493549678424536e-12,2.252819304465728e-12,1.6873238414593603e-12,3.4450500877538964e-13,1.2392943360631186e-13
068,td,6.689037810381946e-12,2.4631235213354232e-12,1.522374756220309e-12,2.440161004725027e-13,6.058350930521888e-14
079,td,1.4266289693144518e-11,3.52148587484937e-12,8.569150319255937e-12,6.240980925692173e-13,1.5074532193953416e-13
093,td,1.533991197771859e-11,4.084114576538868e-12,3.5920550802235478e-12,7.755076524709478e-13,3.283869003981387e-13
108,td,5.653060608001057e-12,1.2641031532106879e-12,1.1258240228244484e-12,1.6792618665963046e-13,1.1571336841008195e-13
109,td,2.3170100542080735e-11,2.6733063328311014e-12,1.1968979964004863e-12,4.007998336828623e-13,2.1105889564786144e-13
127,td,5.512935005893633e-12,1.6773585188569367e-12,8.400618009834797e-13,2.6193259212818463e-13,7.259229093730981e-14
133,td,2.069850881546753e-11,2.757931418094877e-12,1.961253794111044e-12,2.5942939007599273e-13,1.725208773330952e-13
